x,Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Take407All
1,01-06-2012,16:37,Friday,Home,51.29,127.4,78.3,84.8,,39.3,36.3,No
2,01-06-2012,8:20,Friday,GSK,51.63,130.3,81.8,88.9,,37.9,34.9,No
3,01-04-2012,16:17,Wednesday,Home,,127.4,82,85.8,,37.5,35.9,No
4,01-04-2012,7:53,Wednesday,GSK,49.17,132.3,74.2,82.9,,39.8,35.6,No
5,01-03-2012,18:57,Tuesday,Home,51.15,136.2,83.4,88.1,,36.8,34.8,No
6,01-03-2012,7:57,Tuesday,GSK,51.8,135.8,84.5,88.8,,36.8,,No
7,01-02-2012,17:31,Monday,Home,,123.2,82.9,87.3,,37.2,35.3,No
8,01-02-2012,7:34,Monday,GSK,49.01,128.3,77.5,85.9,,37.9,34.3,No
9,12/23/2011,8:01,Friday,GSK,52.91,130.3,80.9,88.3,8.89,39.3,36,No
10,12/22/2011,17:19,Thursday,Home,51.17,122.3,70.6,78.1,8.89,43.5,39.3,No
11,12/22/2011,8:16,Thursday,GSK,49.15,129.4,74,81.4,8.89,39.8,36.2,No
12,12/21/2011,7:45,Wednesday,GSK,51.77,,71.7,78.9,8.89,43.3,39.4,No
13,12/20/2011,16:05,Tuesday,Home,51.45,130.1,75.2,82.7,8.89,41.1,37.3,No
14,12/20/2011,6:04,Tuesday,GSK,49.01,,77.4,82,8.89,38,,No
15,12/19/2011,16:18,Monday,Home,51.04,132.2,77.5,83.5,8.89,39.5,36.7,No
16,12/19/2011,7:34,Monday,GSK,52,137.8,76.5,87.8,8.89,40.8,35.5,No
17,12/16/2011,12:22,Friday,Home,51.05,128.4,86.9,90.6,9.08,35.2,33.8,No
18,12/16/2011,7:21,Friday,GSK,49.04,124.6,71.1,80.2,9.08,41.4,36.7,No
19,12/15/2011,16:14,Thursday,Home,51.06,126.9,80.5,84.9,9.08,38.1,36.1,No
20,12/15/2011,7:19,Thursday,GSK,51.68,123.5,68.1,75.8,9.08,45.6,,No
21,12/14/2011,16:20,Wednesday,Home,51.04,123.4,,79.4,9.08,40.8,38.6,No
22,12/14/2011,7:23,Wednesday,GSK,51.67,123.5,76.6,82.7,9.08,40.5,37.5,No
23,12/13/2011,17:43,Tuesday,Home,51.15,130.6,74.8,82.4,9.08,41,37.2,No
24,12/13/2011,7:25,Tuesday,GSK,49.19,126.1,65.4,74.2,9.08,45.1,39.8,No
25,12-12-2011,7:20,Monday,GSK,49.02,126.1,65.7,74,9.76,44.8,39.7,No
26,12-09-2011,12:04,Friday,Home,51.14,126.8,87.3,90.2,9.76,35.2,34,No
27,12-09-2011,7:22,Friday,GSK,51.69,128.4,74,77.3,9.76,41.9,40.1,No
28,12-08-2011,17:41,Thursday,Home,,125,74.6,81.5,9.76,41.1,37.6,No
29,12-08-2011,7:14,Thursday,GSK,51.63,134.4,76.5,84.3,9.76,40.5,36.7,No
30,12-07-2011,16:12,Wednesday,Home,51.1,126.5,79.9,85.6,9.76,38.4,35.8,No
31,12-07-2011,7:18,Wednesday,GSK,51.64,124.6,73.6,82,9.76,42.1,37.8,No
32,12-06-2011,17:24,Tuesday,Home,51.25,123.5,77.3,81.9,9.16,39.8,37.6,No
33,12-06-2011,7:24,Tuesday,GSK,51.64,122.3,69.3,74.7,9.16,44.7,41.5,No
34,12-05-2011,16:18,Monday,Home,50.18,124,71,79.5,9.16,42.4,37.9,No
35,12-01-2011,16:15,Thursday,Home,51.55,129.6,74.2,83.7,,41.7,36.9,No
36,12-01-2011,7:24,Thursday,GSK,51.38,124.6,80.1,84.4,,38.5,36.5,No
37,11/30/2011,16:11,Wednesday,Home,51.09,128.7,71.5,76.7,,42.9,39.9,No
38,11/30/2011,7:19,Wednesday,GSK,51.71,125.6,76.3,81.8,,40.7,37.9,No
39,11/29/2011,16:52,Tuesday,Home,51,121.4,68.4,75.4,,44.7,40.6,No
40,11/29/2011,7:23,Tuesday,GSK,51.74,112.2,55.3,61,,56.2,50.9,No
41,11/28/2011,16:16,Monday,Home,51.05,128.2,72.4,78.8,,42.3,38.9,No
42,11/28/2011,7:26,Monday,GSK,51.63,127.1,,75.5,,43.6,41.1,No
43,11/24/2011,16:15,Thursday,Home,51.49,126.6,74,82.8,9.3,41.8,37.3,No
44,11/24/2011,7:23,Thursday,GSK,51.69,124.9,73.3,80.3,9.3,42.3,38.6,No
45,11/23/2011,16:17,Wednesday,Home,60.32,129.4,68.9,74.6,9.3,52.5,48.5,No
46,11/23/2011,7:22,Wednesday,GSK,51.6,126.4,67.3,73.6,9.3,46,42.1,No
47,11/22/2011,16:15,Tuesday,Home,51.49,129.6,78.6,83.8,9.3,39.3,36.9,No
48,11/22/2011,7:27,Tuesday,GSK,51.65,128.6,76.1,82.6,9.3,40.7,37.5,No
49,11/21/2011,16:50,Monday,Home,51.31,123.1,60.9,67.2,10.05,50.6,45.8,No
